"Id","Original_Text","Cleaned_Text"
1,"mp      From: Modesta Perez   Sent: Monday, January 30, 2017 4:35 PM  To: Carla Voss <CVoss@Volt.com>; Marc Fenton <MFenton@Volt.com>  Cc: Terry Jordan <TJordan@volt.com>; Glen Garcia <GRGarcia@Volt.com>  Subject: RE: HOWELL MUNITIONS & TECHNOLOGY #9448882 BR#43076 & 43064- No Adds Hold    43076 is $12k  43064 is $22k         From: Carla Voss   Sent: Monday, January 30, 2017 4:32 PM  To: Modesta Perez <MPerez@Volt.com>; Marc Fenton <MFenton@Volt.com>  Cc: Terry Jordan <TJordan@volt.com>; Glen Garcia <GRGarcia@Volt.com>  Subject: RE: HOWELL MUNITIONS & TECHNOLOGY #9448882 BR#43076 & 43064- No Adds Hold    Hi Modesta,     How much is tied to branch 43076?"," carla voss marc fenton glen howell munitions technology br adds hold carla voss marc fenton glen howell munitions technology br adds hold tied branch"
2,"ad 1/30/17    From: Anna Durling   Sent: Monday, January 30, 2017 4:32 PM  To: Justin Bacon <JBacon@Volt.com>  Cc: Wanda Fuerstenberg <WFuerstenberg@Volt.com>; Matthew Hitchcock <MHitchcock@Volt.com>; Germaine Adkerson <GAdkerson@volt.com>; Terry Jordan <TJordan@volt.com>; ThermoFisher <ThermoFisher@Volt.com>  Subject: RE: Hi Anna - Updates for rebill for Franklin, MA Thermo location ------RE: Volt Invoices - Thermo/Fisher acct 9448319 (please update distribution list)    Thanks Justin. I am working on creating disputes for everything that needs to be revised to separate by employee and correct location/account.  I will also request they add recipients to the body of the invoice when revising so the corrected invoices go to the correct person/email once the generate in the system.      Anna Durling  Customer Account Representative  Volt Information Sciences  Shared Accounting Services  714-921-7641  714-921-7061 FAX  adurling@volt.com"," justin bacon wanda fuerstenberg matthew hitchcock adkerson thermofisher updates rebill franklin ma thermo location invoices thermo fisher update distribution list justin working creating disputes revised separate employee correct location account request add recipients body invoice revising corrected invoices correct person generate system customer account representative information sciences shared accounting services fax adurling "
3,"HD*From: Hema Dadlani   Sent: Monday, January 30, 2017 4:32 PM  To: 'nbalasub@glanbia.com' <nbalasub@glanbia.com>  Subject: FW: Request for Invoices - Volt Services Group - 5039434 -Glandia #0078077 34551632,34604878,34687312,34707817 &34735194    Hello Nisha,     Please find all invoices dated 11/27/16 through 1/15/17 enclosed one invoice per PDF however we don’t have a PO as these are for payroll and we have not been provided with a PO.     Let me know if I can facilitate you with anymore info on these invoices in order for you to process them for payment.     Thank you,     Hema Dadlani  From: Paula Boerner   Sent: Monday, January 30, 2017 3:26 PM  To: Hema Dadlani <HDadlani@volt.com>  Subject: FW: Request for Invoices - Volt Services Group - 5039434 -Glandia #0078077    Hello Hema,  The statement desk received the following email.        Best Regards,    Paula Boerner    From: Balasubramanian, Nisha [mailto:nbalasub@glanbia.com]   Sent: Thursday, January 26, 2017 2:02 PM  To: Credit Department <Credit_Department@volt.com>  Subject: Request for Invoices - Volt Services Group - 5039434 - GNNA    Hi,  Would you kindly forward copies of the following invoices to my attention at your earliest convenience. Please make sure that there is only one(1) invoice per PDF file, and that our purchase order is clearly referenced on the invoice. Invoices without P.O.’s will be rejected by the system, and returned for correction. If you have any questions or concerns, please let me know. Thank you for your prompt attention to this matter, it is greatly appreciated. Have a wonderful day!  Invoice Date Invoice #  Amount  11/27/2016 34551632 720.00   12/11/2016 34604878 1,110.00   12/25/2016 34687312 556.14   1/8/2017 34707817 552.00   Thanks,     Nisha Bala, Accounts Reconciliation Specialist  975 Meridian Lake Drive, Aurora, IL 60504.  ?: nbalasub@glanbia.com   PHONE: 331 642 6055"," nbalasub glanbia request invoices services group glandia nisha find invoices enclosed invoice dont po payroll provided po facilitate anymore info invoices order process payment request invoices services group glandia statement desk received balasubramanian nisha nbalasub glanbia credit department request invoices services group gnna kindly forward copies invoices attention earliest convenience make invoice file purchase order referenced invoice invoices rejected system returned correction questions concerns prompt attention matter greatly appreciated wonderful day invoice invoice amount nisha bala accounts reconciliation specialist meridian lake drive aurora il nbalasub glanbia phone"
4,"AD 1/30/17    From: Justin Bacon   Sent: Monday, January 23, 2017 12:33 PM  To: Anna Durling <ADurling@Volt.com>  Cc: Wanda Fuerstenberg <WFuerstenberg@Volt.com>; Matthew Hitchcock <MHitchcock@Volt.com>; Germaine Adkerson <GAdkerson@volt.com>; Terry Jordan <TJordan@volt.com>; ThermoFisher <ThermoFisher@Volt.com>  Subject: Hi Anna - Updates for rebill for Franklin, MA Thermo location ------RE: Volt Invoices - Thermo/Fisher acct 9448319 (please update distribution list)    Hi Anna,    I hope you had a nice weekend!  Please see below for answers to your questions:    1) Separate invoices:  The 3 candidates listed below should each be listed on their own separate invoice:  a.  Selena  Gonzalez-Duval  b.  Jason Valentin  c.  Mark Vison     2) Customer Number:  9432047, Franklin, MA  - The above 3 candidates will need to be reassigned to 9432047 (I have requested new reqs and will be assigning as soon as req #’s are received)    3) Billing Information:  Below are the recipients that should receive invoices for the 3 candidates listed above.      • Amanda.Baca@thermofisher.com  • alfaaesar.accounting@thermofisher.com  • Jennifer.ouellette@thermofisher.com     Address to be stated on invoices (NOT MAILED):                             27 Forge Parkway  Franklin MA, USA  02038    4) In terms of the 4th candidate listed in the email chain below, Vivienne Sullivan, she is correctly assigned under Waltham, MA Customer # 9448319 and should be invoiced on her own separate invoice.     Please don’t hesitate to contact me should you have any questions.    Thanks for your help!     Best,    Justin         Justin Bacon  Area Manager  Volt Workforce Solutions | New England     300 Unicorn Park Drive, Woburn, MA 01801  Office: 781-496-3086 x:10006 | Cell: 401-451-3066 | Fax: 781-932-2404  jbacon@volt.com  www.volt.com"," justin bacon wanda fuerstenberg matthew hitchcock adkerson thermofisher updates rebill franklin ma thermo location invoices thermo fisher update distribution list hope nice weekend answers questions separate invoices candidates listed listed separate invoice selena duval jason valentin mark vison customer number franklin ma candidates reassigned requested reqs assigning req received billing information recipients receive invoices candidates listed amanda baca thermofisher alfaaesar accounting thermofisher jennifer ouellette thermofisher address stated invoices mailed forge parkway franklin ma usa terms candidate listed chain vivienne sullivan correctly assigned waltham ma customer invoiced separate invoice dont hesitate contact questions justin justin bacon area manager workforce solutions england unicorn park drive woburn ma office cell fax jbacon "
5,"AD 1/30/17    From: Modesta Perez   Sent: Monday, January 30, 2017 1:17 PM  To: gk@globalkaizen.com  Cc: Anna Durling <ADurling@Volt.com>; Evelyn Gutierrez <EGutierrez@Volt.com>; Terry Jordan <TJordan@volt.com>  Subject: RE: Invoices-Global Kaizen #9419730    Georgina,    Thank you for payment of $2,134.05.  It is my understanding we will expect to see another payment released by this Friday, February 3rd.    The plan going forward is to continue to pay at minimum two to three invoices a week while the company secures refinancing; at which time the account will be brought current.  Volt will continue to work with Global Kaizen under this arrangement.  If any changes, please reach out to us to discuss further.    In the meantime, please provide next payment information as it becomes available later this week to Anna Durling.    Regards,      Modesta Perez  Credit Manager     Volt Information Sciences, Inc.  Shared Accounting Services  2421 North Glassell Street  Orange, CA 92865  Office 714-921-7093  mperez@volt.com"," gk globalkaizen evelyn gutierrez invoices global kaizen georgina payment understanding expect payment released february plan forward continue pay minimum invoices company secures refinancing time account brought current continue work global kaizen arrangement reach discuss meantime provide payment information credit manager information sciences shared accounting services north street orange office mperez "
6,"CustomerHistory (51).pdf Document has been uploaded","customerhistory document uploaded"
7,"Attachment-HOWELL+MUNITIONS.pdf Document has been uploaded","attachment howell munitions document uploaded"
8,"mp- No Adds Hold      From: Modesta Perez   Sent: Monday, January 30, 2017 4:21 PM  To: Marc Fenton <MFenton@Volt.com>  Cc: Terry Jordan <TJordan@volt.com>; Carla Voss <CVoss@Volt.com>  Subject: HOWELL MUNITIONS & TECHNOLOGY #9448882 BR#43076 & 43064- No Adds Hold    Marc,    Customer is being placed on No Adds Hold effective today due to cash flow and unable to pay Volt balance owed $34k.    Regards,      Modesta Perez  Credit Manager     Volt Information Sciences, Inc.  Shared Accounting Services  2421 North Glassell Street  Orange, CA 92865  Office 714-921-7093  mperez@volt.com"," adds hold marc fenton carla voss howell munitions technology br adds hold marc customer adds hold effective today due cash flow unable pay balance owed credit manager information sciences shared accounting services north street orange office mperez "
9," GG STATUS 1-30-17  acct re-assigned to Ranjan indis 01/30/17 16:19:03"," status assigned indis"
10,"GG STATUS 1-30-17  *Acct reassigned to Ranjan.From: Gigi Garcia   Sent: Monday, January 30, 2017 4:17 PM  To: 'RanjanManjunath@Volt.com' <RanjanManjunath@Volt.com>  Subject: Volt Invoices #34728194 and #34736990      From: Yvette Ardds [mailto:yvette@skateone.com]   Sent: Friday, January 27, 2017 3:11 PM  To: Selgie Arroyo <SArroyo@Volt.com>; Yessica Velazquez <YVelazquez@Volt.com>; Anthony Schuck <ASchuck@Volt.com>; Gigi Garcia <GigiGarcia@Volt.com>  Cc: LeAnn Turner <leann@skateone.com>; DeAnn Turner <deann@skateone.com>  Subject: Volt Invoices #34728194 and #34736990    Hi Selgie. We have made adjustments on invoices #34728194 dated 01/08/17 ( $3,440.62) and #34736990 dated 01/15/17 ($1,456.13). Both Christopher Navarro and Brett Paulsen worked on an Alternative Workweek schedule and should have been billed at straight time up to 40 hours for the week. On invoice #34728194 we were billed 4 hours overtime for Christopher and 6 hours overtime for Brett, which was incorrect. On invoice #34736990 we were billed 8 hours overtime for Christopher. Adjustments have been made to both invoices attached. Invoice #34728194 has a new total of $3,359.24 and invoice #34736990 has a total of $1,391.03. These have been submitted for payment.       Thank you.         Yvette Ardds  Skate One Corporation  Human Resources  P: 805.964.1330 Ext. 122  F: 805.964.0511  yvette@skateone.com  http://www.skateone.com"," status reassigned ranjanmanjunath invoices yvette ardds yvette skateone selgie arroyo yessica velazquez anthony schuck leann turner deann turner invoices selgie made adjustments invoices christopher navarro brett paulsen worked alternative workweek schedule billed straight time invoice billed overtime christopher overtime brett incorrect invoice billed overtime christopher adjustments made invoices attached invoice total invoice total submitted payment yvette ardds skate corporation human resources ext yvette skateone http skateone "
11,"HD*From: Northwest Support   Sent: Monday, January 30, 2017 4:09 PM  To: Hema Dadlani <HDadlani@volt.com>; Cheryl Mayberry <CMayberry@Volt.com>  Cc: SASBilling <SASBilling@Volt.com>; Cash <cash@Volt.com>; Mike Freedland <MFreedland@Volt.com>; PDF_Billing <PDF_Billing@Volt.com>; Benjamin Nguyen <BNguyen@Volt.com>  Subject: RE: VOLT INVOICE -9441255 AEROTURBINE WE 2017-01-08    Hi Hema,    Cheryl is no longer with Volt. Please send any further correspondence that you have for her to PRDCPayroll@volt.com.    Thank you,     Wayne Pishue  Technical Coordinator     Volt Workforce Solutions  11601 Willows Road NE, Suite 200 | Redmond, WA  98052  NWsupport@volt.com | t: 425.636.4748 | Redmond Office: 425-376-1700 | Fax 1-877-735-9672"," northwest support cheryl mayberry sasbilling cash mike freedland billing benjamin nguyen invoice aeroturbine cheryl longer send correspondence prdcpayroll wayne pishue technical coordinator workforce solutions willows road ne suite redmond wa nwsupport redmond office fax"
12,"GG STATUS 1-30-17  *CURRNT  From: Gigi Garcia   Sent: Monday, January 30, 2017 4:15 PM  To: 'Robert Lawrence' <rlawrence@calportland.com>  Cc: Steven Yi <SYi@Volt.com>  Subject: (Important) CAL PORTLAND acct#9452292 Volt br#43101 ( account update)     Hi Robert,    Thank you so much for the recent payment . The account today reflects current balance.            Thank you for the support.     Gigi Garcia  Customer Service Account Representative  Volt Information Sciences  Shared Accounting Services  (714)921-7450 tel  (714)921-5563fax  GigiGarcia@Volt.com       From: Robert Lawrence [mailto:rlawrence@calportland.com]   Sent: Friday, January 27, 2017 12:31 PM  To: Gigi Garcia <GigiGarcia@Volt.com>  Cc: Steven Yi <SYi@Volt.com>  Subject: RE: (Important) CAL PORTLAND acct#9452292 Volt br#43101 ( Past due $2,356.00 items dated 12-11 and 12-18 )     Gigi,    Checks were cut this morning.    Thanks,"," status currnt robert lawrence steven yi important cal portland br account update robert recent payment account today reflects current balance support customer service account representative information sciences shared accounting services fax robert lawrence rlawrence calportland steven yi important cal portland br past due items checks cut "
13," GG STATUS 1-30-17  Acct re-assigned to Ranjanndia 01/30/17 16:13:53"," status assigned ranjanndia"
14,"GG STATUS 1-30-17  *Acct re-assigned to Ranjan, India  From: Gigi Garcia   Sent: Monday, January 30, 2017 4:12 PM  To: Lindsey Anderson <LAnderson@Volt.com>  Cc: Israel Corona <icorona@go2ris.com>; 'Shalimar Kendall' <skendall@go2ris.com>; 'RanjanManjunath@Volt.com' <RanjanManjunath@Volt.com>  Subject: RETAIL INKJET SOLUTIONS INC acct#9447290 Volt br#43122 ( Moises Hurtado Lomeli pay question )     Hi Lindsey,    Hope all is well.  Can you please assist Shalimar@Retail Inket (see email below).     Thank you for the support.     Gigi Garcia  Customer Service Account Representative  Volt Information Sciences  Shared Accounting Services  (714)921-7450 tel  (714)921-5563fax  GigiGarcia@Volt.com       From: Shalimar Kendall [mailto:skendall@go2ris.com]   Sent: Friday, January 27, 2017 12:17 PM  To: Gigi Garcia <GigiGarcia@Volt.com>  Cc: Israel Corona <icorona@go2ris.com>  Subject: Moises Hurtado Lomeli pay question    Hi Gigi     We brought Moises on board and his last week thru Volt was the week ending 1/15/17 and he wanted to make sure he did receive his pay for that week. He did say that he received a paycheck last Friday, 1/20/17, and he wanted to verify that the pay he received last Friday was for the week ending 1/15/17. You are the contact I have so thought I would reach out to you. If you are the wrong person, will you please forward this to the appropriate person for me?      Thank you     Shalimar Kendall  Accounts Payable Specialist   ®  1916 Palomar Oaks Way, Ste. 100  Carlsbad, CA 92008  Office: 858-346-1083   Mobile: 760-214-5296  Email: skendall@Go2RIS.com  www.Go2RIS.com      Learn more and follow us at:"," status assigned india lindsey anderson israel corona shalimar kendall ranjanmanjunath retail inkjet solutions br moises hurtado lomeli pay question lindsey hope assist shalimar retail inket support customer service account representative information sciences shared accounting services fax shalimar kendall skendall goris israel corona moises hurtado lomeli pay question brought moises board ending wanted make receive pay received paycheck wanted verify pay received ending contact thought reach wrong person forward person shalimar kendall accounts payable specialist palomar oaks ste carlsbad office mobile skendall goris goris learn follow "
15,"HD*From: Hema Dadlani   Sent: Monday, January 30, 2017 4:10 PM  To: PDF_Billing <PDF_Billing@Volt.com>  Cc: Brian Rewerts <BRewerts@Volt.com>; Natesh Kumar <NHKumar@Volt.com>  Subject: FW: VOLT INVOICE - 9454315_RJW TRANSPORT INC_WE-2016-12-04    Please PDF all invoices to accountspayable@rjwgroup.com     Thank you,     Hema Dadlani  Account Representative    Shared Accounting Services  Volt Information Sciences, Inc. | 2421 North Glassell Street | Orange, CA 92865  714-921-7430 Direct Line    From: Brian Rewerts   Sent: Monday, January 30, 2017 2:57 PM  To: Hema Dadlani <HDadlani@volt.com>  Subject: FW: VOLT INVOICE - 9454315_RJW TRANSPORT INC_WE-2016-12-04    Can we make sure the RJW invoices are being sent to accountspayable@rjwgroup.com.    Thank you,      Brian Rewerts  Business Development Manager"," billing brian rewerts natesh kumar invoice rjw transport invoices accountspayable rjwgroup account representative shared accounting services information sciences north street orange direct line brian rewerts invoice rjw transport make rjw invoices accountspayable rjwgroup brian rewerts business development manager"
16,"HD*From: Bryowsky, Patrick [mailto:PBryowsky@rjwgroup.com]   Sent: Saturday, January 28, 2017 6:10 AM  To: Hema Dadlani <HDadlani@volt.com>  Subject: RE: RJW TRANSPORT INC 9454315     Thank you. I will get these through approvals and most likely paid on Friday’s check run. If any problems I will let you know.        Patrick M. Bryowsky  Accounting Manager  RJW Logistics  P (630) 424-2433  F (630) 424-2233"," bryowsky patrick pbryowsky rjwgroup rjw transport approvals paid fridays check run problems patrick bryowsky accounting manager rjw logistics "
17,"GG STATUS 1-30-17  **CURRNT  From: Gigi Garcia   Sent: Monday, January 30, 2017 4:07 PM  To: 'Crystal Baugh' <Crystal.Baugh@bio-techne.com>  Subject: CLINIQA CORP ACCT#9427170 (ACCOUNT UPDATE)     Hi Crystal,    Thank you so much for the recent payment. The account today reflects current balance."," status currnt crystal baugh cliniqa corp account update crystal recent payment account today reflects current balance"
18," GG STATUS 1-30-17  ZERO BALANCE 01/30/17 16:04:25"," status balance"
19,"GG STATUS 1-30-17  *ZERO BALANCE   From: Connie Colmenero [mailto:connie@c21av.com]   Sent: Wednesday, January 25, 2017 9:53 AM  To: Gigi Garcia <GigiGarcia@Volt.com>  Subject: re: (URGENT ) A COLMENERO PLASTERING INC ACCT#9453931 ( # 34614512 )    Hi Gigi,     I'm very sorry. I was under the assumption we paid. Can please send me a run of weeks & payments.     I will be out of the office today so I will not be able to confirm and send check out till tomorrow. I do apologize this is unsettled.     Thank you"," status balance connie colmenero connie cav urgent colmenero plastering assumption paid send run weeks payments office today confirm send check till tomorrow apologize unsettled "
20,"HD*From: Hema Dadlani   Sent: Monday, January 30, 2017 4:03 PM  To: 'Cheryl Mayberry' <CMayberry@Volt.com>  Cc: SASBilling <SASBilling@Volt.com>; Cash <cash@Volt.com>; Mike Freedland <MFreedland@Volt.com>; PDF_Billing <PDF_Billing@Volt.com>; Benjamin Nguyen <BNguyen@Volt.com>  Subject: RE: VOLT INVOICE -9441255 AEROTURBINE WE 2017-01-08    Hi Cheryl,     Please see email enclosed from Mike the two employees have made their payments back to Volt for Aeroturbine # 9441255  Can you please have customer short pay the invoice and cash can use those credits to clear the balances on the two.     Let me know. thank you,     Hema Dadlani  Account Representative    Shared Accounting Services"," cheryl mayberry sasbilling cash mike freedland billing benjamin nguyen invoice aeroturbine cheryl enclosed mike employees made payments back aeroturbine customer short pay invoice cash credits clear balances account representative shared accounting services"
